sub	run	trial	soa	audio	drive_Type	audio_Type	TTFF_FLWM	TTFF_HLWM	FLWM	HLWM
1	2	1	0	2	1	1	NA	NA	0	0
1	2	2	200	2	1	1	NA	NA	0	0
1	2	3	200	3	1	1	0.7154928	NA	1	0
1	2	4	0	3	1	1	NA	NA	0	0
1	2	5	400	3	1	1	0.8318604	NA	1	0
1	2	6	0	1	1	1	NA	0.6322819	0	1
1	2	7	200	3	1	1	NA	NA	0	0
1	2	8	400	2	1	1	NA	NA	0	0
1	2	9	600	3	1	1	NA	1.3977039	0	1
1	2	10	0	2	1	1	NA	NA	0	0
1	2	11	600	3	1	1	NA	NA	0	0
1	2	12	400	1	1	1	NA	NA	0	0
1	2	13	400	1	1	1	NA	NA	0	0
1	2	14	200	1	1	1	NA	NA	0	0
1	2	15	400	3	1	1	NA	0.4991609	0	1
1	2	16	600	1	1	1	NA	NA	0	0
1	2	17	600	1	1	1	NA	NA	0	0
1	2	18	0	1	1	1	NA	NA	0	0
1	2	19	0	3	1	1	NA	NA	0	0
1	2	20	600	2	1	1	NA	NA	0	0
1	2	21	200	1	1	1	NA	NA	0	0
1	2	22	200	2	1	1	NA	NA	0	0
1	2	23	600	2	1	1	NA	NA	0	0
1	2	24	400	2	1	1	NA	NA	0	0
1	6	1	200	2	2	1	NA	NA	0	0
1	6	2	400	1	2	1	NA	NA	0	0
1	6	3	600	3	2	1	NA	NA	0	0
1	6	4	600	2	2	1	NA	NA	0	0
1	6	5	600	1	2	1	NA	NA	0	0
1	6	6	200	2	2	1	NA	NA	0	0
1	6	7	400	2	2	1	NA	NA	0	0
1	6	8	400	1	2	1	NA	NA	0	0
1	6	9	600	2	2	1	NA	NA	0	0
1	6	10	400	3	2	1	0.6323158	NA	1	0
1	6	11	400	2	2	1	NA	NA	0	0
1	6	12	200	1	2	1	NA	NA	0	0
1	6	13	200	1	2	1	NA	NA	0	0
1	6	14	0	1	2	1	NA	NA	0	0
1	6	15	0	2	2	1	NA	NA	0	0
1	6	16	200	3	2	1	NA	NA	0	0
1	6	17	0	3	2	1	NA	NA	0	0
1	6	18	600	1	2	1	NA	NA	0	0
1	6	19	200	3	2	1	NA	NA	0	0
1	6	20	0	2	2	1	NA	NA	0	0
1	6	21	600	3	2	1	0.5490916	NA	1	0
1	6	22	0	3	2	1	0.7487573	NA	1	0
1	6	23	400	3	2	1	NA	NA	0	0
1	6	24	0	1	2	1	NA	NA	0	0
2	4	1	200	2	1	1	NA	NA	0	0
2	4	2	400	3	1	1	NA	NA	0	0
2	4	3	0	3	1	1	NA	NA	0	0
2	4	4	400	3	1	1	NA	NA	0	0
2	4	5	200	3	1	1	NA	NA	0	0
2	4	6	600	1	1	1	NA	NA	0	0
2	4	7	400	2	1	1	NA	NA	0	0
2	4	8	200	3	1	1	NA	NA	0	0
2	4	9	400	2	1	1	NA	NA	0	0
2	4	10	600	1	1	1	NA	NA	0	0
2	4	11	0	1	1	1	NA	NA	0	0
2	4	12	600	2	1	1	NA	NA	0	0
2	4	13	200	2	1	1	NA	NA	0	0
2	4	14	600	3	1	1	NA	NA	0	0
2	4	15	0	2	1	1	NA	NA	0	0
2	4	16	200	1	1	1	NA	NA	0	0
